word	count	candidate	count	score	difference
cu	2	chu	25976	1.0	Added 'h' at position 2
l	2	le	9121	1.0	Added 'e' at position 2
jose	2	jouse	3816	1.0	Added 'u' at position 3
keim	2	keima	2540	1.0	Added 'a' at position 5
aje	2	ajeh	1764	1.0	Added 'h' at position 4
nangan	2	nangman	1477	1.0	Added 'm' at position 5
ijeh-nem	2	ijeh-inem	1384	1.0	Added 'i' at position 6
louhe	2	louhel	1355	1.0	Added 'l' at position 6
lun	2	lung	940	1.0	Added 'g' at position 4
laa	2	lama	909	1.0	Added 'm' at position 3
chujonle	2	chujongle	908	1.0	Added 'g' at position 7
ke	2	kei	847	1.0	Added 'i' at position 3
inung	2	insung	801	1.0	Added 's' at position 3
veta	2	vetan	772	1.0	Added 'n' at position 5
l	2	la	683	1.0	Added 'a' at position 2
asi	2	asei	605	1.0	Added 'e' at position 3
ahila	2	ahinla	564	1.0	Added 'n' at position 4
kopia	2	khopia	562	1.0	Added 'h' at position 2
l	2	li	555	1.0	Added 'i' at position 2
chapte	2	chapate	543	1.0	Added 'a' at position 5
chti	2	chuti	465	1.0	Added 'u' at position 3
nain	2	nahin	429	1.0	Added 'h' at position 3
behse	2	behseh	383	1.0	Added 'h' at position 6
changlha	2	changlhah	337	1.0	Added 'h' at position 9
kasi	2	kasei	315	1.0	Added 'e' at position 4
tupeh	2	thupeh	313	1.0	Added 'h' at position 2
twikanglen	2	twikhanglen	302	1.0	Added 'h' at position 5
nath	2	natoh	298	1.0	Added 'o' at position 4
de	2	deh	296	1.0	Added 'h' at position 3
tig	2	ting	260	1.0	Added 'n' at position 3
dunguiya	2	dungjuiya	253	1.0	Added 'j' at position 5
dungjuiy	2	dungjuiya	253	1.0	Added 'a' at position 9
aph	2	apeh	250	1.0	Added 'e' at position 3
de	2	den	247	1.0	Added 'n' at position 3
gi	2	gin	245	1.0	Added 'n' at position 3
gi	2	gei	223	1.0	Added 'e' at position 2
themmoa	2	themmona	215	1.0	Added 'n' at position 7
ke	2	ken	207	1.0	Added 'n' at position 3
khe	2	khel	206	1.0	Added 'l' at position 4
l	2	lk	205	1.0	Added 'k' at position 2
tasa	2	tahsa	204	1.0	Added 'h' at position 3
aang	2	adang	195	1.0	Added 'd' at position 2
nakut	2	nakhut	190	1.0	Added 'h' at position 4
nakhu	2	nakhut	190	1.0	Added 't' at position 6
ke	2	keh	189	1.0	Added 'h' at position 3
lun	2	lhun	189	1.0	Added 'h' at position 2
aen	2	apen	181	1.0	Added 'p' at position 2
agasung	2	agamsung	178	1.0	Added 'm' at position 4
jehin	2	jeh-in	176	1.0	Added '-' at position 4
nane	2	naneh	174	1.0	Added 'h' at position 5
chungung	2	chungnung	174	1.0	Added 'n' at position 6
bi	2	bei	168	1.0	Added 'e' at position 2
nani	2	nanei	166	1.0	Added 'e' at position 4
nane	2	nanei	166	1.0	Added 'i' at position 5
eijah	2	elijah	152	1.0	Added 'l' at position 2
jonge	2	jongle	151	1.0	Added 'l' at position 5
kane	2	kanei	144	1.0	Added 'i' at position 5
ach	2	ache	143	1.0	Added 'e' at position 4
l	2	lo	142	1.0	Added 'o' at position 2
aang	2	abang	142	1.0	Added 'b' at position 2
dunjuiyin	2	dungjuiyin	142	1.0	Added 'g' at position 4
kipen	2	koipen	140	1.0	Added 'o' at position 2
temmo	2	themmo	134	1.0	Added 'h' at position 2
aph	2	apha	133	1.0	Added 'a' at position 4
taouve	2	tapouve	125	1.0	Added 'p' at position 3
jenun	2	jengun	124	1.0	Added 'g' at position 4
akito	2	akitol	123	1.0	Added 'l' at position 6
laha	2	lah-a	120	1.0	Added '-' at position 4
midan	2	midang	120	1.0	Added 'g' at position 6
koh	2	khoh	113	1.0	Added 'h' at position 2
ke	2	kel	109	1.0	Added 'l' at position 3
de	2	del	106	1.0	Added 'l' at position 3
neilo	2	neilou	106	1.0	Added 'u' at position 6
ainsun	2	ainsung	106	1.0	Added 'g' at position 7
aon	2	abon	103	1.0	Added 'b' at position 2
heli	2	helin	103	1.0	Added 'n' at position 5
apodoh	2	apotdoh	101	1.0	Added 't' at position 4
lhonta	2	lhontai	99	1.0	Added 'i' at position 7
kachuh	2	kalchuh	98	1.0	Added 'l' at position 3
khe	2	khen	97	1.0	Added 'n' at position 4
aoma	2	akoma	97	1.0	Added 'k' at position 2
golhang	2	gollhang	97	1.0	Added 'l' at position 4
kihi	2	kihei	95	1.0	Added 'e' at position 4
kihe	2	kihei	95	1.0	Added 'i' at position 5
aph	2	apoh	94	1.0	Added 'o' at position 3
gi	2	gim	93	1.0	Added 'm' at position 3
aang	2	apang	92	1.0	Added 'p' at position 2
aon	2	adon	90	1.0	Added 'd' at position 2
kahse	2	kahsen	89	1.0	Added 'n' at position 6
tim	2	thim	87	1.0	Added 'h' at position 2
nane	2	nange	86	1.0	Added 'g' at position 4
phata	2	phatah	86	1.0	Added 'h' at position 6
nani	2	nanit	84	1.0	Added 't' at position 5
nahu	2	nahiu	84	1.0	Added 'i' at position 4
de	2	det	83	1.0	Added 't' at position 3
nain	2	natin	83	1.0	Added 't' at position 3
mosanga	2	molsanga	82	1.0	Added 'l' at position 3
nain	2	namin	80	1.0	Added 'm' at position 3
aang	2	asang	79	1.0	Added 's' at position 2
sahin	2	sah-in	78	1.0	Added '-' at position 4
ahinguvin	2	alhinguvin	77	1.0	Added 'l' at position 2
kholin	2	kholjin	76	1.0	Added 'j' at position 5
mangtha	2	mangthah	76	1.0	Added 'h' at position 8
phata	2	phatna	75	1.0	Added 'n' at position 5
kita	2	kitan	74	1.0	Added 'n' at position 5
age	2	agel	72	1.0	Added 'l' at position 4
kolna	2	kholna	72	1.0	Added 'h' at position 2
asedoh	2	aseidoh	71	1.0	Added 'i' at position 4
nath	2	nathu	70	1.0	Added 'u' at position 5
nahu	2	nathu	70	1.0	Added 't' at position 3
kisela	2	kiselna	70	1.0	Added 'n' at position 6
midan	2	midian	69	1.0	Added 'i' at position 4
asi	2	ahsi	68	1.0	Added 'h' at position 2
khosah	2	khohsah	68	1.0	Added 'h' at position 4
nepa	2	neipa	65	1.0	Added 'i' at position 3
kita	2	kitah	65	1.0	Added 'h' at position 5
kave	2	kavet	64	1.0	Added 't' at position 5
cheru	2	cherub	64	1.0	Added 'b' at position 6
kahse	2	kahsea	64	1.0	Added 'a' at position 6
lem	2	lhem	63	1.0	Added 'h' at position 2
ether	2	esther	63	1.0	Added 's' at position 2
hepin	2	hepina	63	1.0	Added 'a' at position 6
kikol	2	kikhol	61	1.0	Added 'h' at position 4
aen	2	amen	60	1.0	Added 'm' at position 2
aon	2	ahon	60	1.0	Added 'h' at position 2
nath	2	natha	60	1.0	Added 'a' at position 5
akisa	2	akisat	60	1.0	Added 't' at position 6
achana	2	achaina	60	1.0	Added 'i' at position 5
aon	2	amon	59	1.0	Added 'm' at position 2
aen	2	alen	58	1.0	Added 'l' at position 2
aen	2	aven	57	1.0	Added 'v' at position 2
akiu	2	akimu	57	1.0	Added 'm' at position 4
asedoh	2	asemdoh	57	1.0	Added 'm' at position 4
sedoh	2	seidoh	55	1.0	Added 'i' at position 3
ade	2	adei	54	1.0	Added 'i' at position 4
aon	2	apon	54	1.0	Added 'p' at position 2
nepen	2	neipen	54	1.0	Added 'i' at position 3
abona	2	abolna	54	1.0	Added 'l' at position 4
nasoi	2	nasopi	54	1.0	Added 'p' at position 5
de	2	dei	53	1.0	Added 'i' at position 3
gi	2	gib	53	1.0	Added 'b' at position 3
ade	2	adel	53	1.0	Added 'l' at position 4
theichan	2	theichang	53	1.0	Added 'g' at position 9
aang	2	alang	52	1.0	Added 'l' at position 2
ahinpi	2	ahinpui	52	1.0	Added 'u' at position 6
jehuva	2	jeh-uva	52	1.0	Added '-' at position 4
aon	2	agon	51	1.0	Added 'g' at position 2
kaha	2	katha	51	1.0	Added 't' at position 3
kichi	2	kichai	51	1.0	Added 'a' at position 5
doa	2	dola	50	1.0	Added 'l' at position 3
kichi	2	kichoi	50	1.0	Added 'o' at position 5
kahoh	2	kathoh	50	1.0	Added 't' at position 3
thuhi	2	thuhil	50	1.0	Added 'l' at position 6
katho	2	kathoh	50	1.0	Added 'h' at position 6
kapathenu	2	ka-pathenu	50	1.0	Added '-' at position 3
gi	2	gil	49	1.0	Added 'l' at position 3
kilon	2	kilhon	49	1.0	Added 'h' at position 4
jengta	2	jengtan	49	1.0	Added 'n' at position 7
titah	2	tuitah	48	1.0	Added 'u' at position 2
aje	2	ajet	47	1.0	Added 't' at position 4
nain	2	nagin	46	1.0	Added 'g' at position 3
sedoh	2	semdoh	46	1.0	Added 'm' at position 3
lhonta	2	lhontan	46	1.0	Added 'n' at position 7
kalal	2	kalval	45	1.0	Added 'v' at position 4
ahonna	2	achonna	45	1.0	Added 'c' at position 2
phi	2	phin	44	1.0	Added 'n' at position 4
nath	2	nathi	44	1.0	Added 'i' at position 5
nane	2	nante	44	1.0	Added 't' at position 4
kane	2	kaneh	43	1.0	Added 'h' at position 5
bole	2	bolte	43	1.0	Added 't' at position 4
apotdohin	2	apotdoh-in	42	1.0	Added '-' at position 8
aon	2	ason	41	1.0	Added 's' at position 2
katana	2	kataona	41	1.0	Added 'o' at position 5
anapo	2	anapoi	40	1.0	Added 'i' at position 6
vapin	2	vaipin	40	1.0	Added 'i' at position 3
lunghana	2	lunghanna	40	1.0	Added 'n' at position 8
akitodoh	2	akitoldoh	39	1.0	Added 'l' at position 6
aang	2	amang	38	1.0	Added 'm' at position 2
akiso	2	akisop	38	1.0	Added 'p' at position 6
aen	2	ahen	37	1.0	Added 'h' at position 2
khot	2	kihot	37	1.0	Added 'i' at position 2
akihoi	2	akichoi	37	1.0	Added 'c' at position 4
kaisah	2	kahisah	37	1.0	Added 'h' at position 3
akicho	2	akichoi	37	1.0	Added 'i' at position 7
gi	2	goi	36	1.0	Added 'o' at position 2
ahisa	2	athisa	36	1.0	Added 't' at position 2
anamin	2	anaumin	36	1.0	Added 'u' at position 4
kihe	2	kihet	35	1.0	Added 't' at position 5
kihe	2	kiheh	35	1.0	Added 'h' at position 5
kahan	2	kachan	35	1.0	Added 'c' at position 3
jengta	2	jengtai	35	1.0	Added 'i' at position 7
ahinpe	2	ahinpeh	35	1.0	Added 'h' at position 7
anapan	2	anapang	35	1.0	Added 'g' at position 7
aboha	2	aboh-a	34	1.0	Added '-' at position 5
khal	2	kihal	33	1.0	Added 'i' at position 2
mivah	2	meivah	33	1.0	Added 'e' at position 2
chuphatin	2	chuphat'in	33	1.0	Added ''' at position 8
aon	2	ajon	32	1.0	Added 'j' at position 2
aneipi	2	aneipoi	32	1.0	Added 'o' at position 6
akinun	2	akinung	32	1.0	Added 'g' at position 7
jehuvin	2	jeh-uvin	32	1.0	Added '-' at position 4
ach	2	acha	31	1.0	Added 'a' at position 4
kichi	2	kichih	31	1.0	Added 'h' at position 6
jabola	2	jabolna	31	1.0	Added 'n' at position 6
ke	2	keo	30	1.0	Added 'o' at position 3
thila	2	thilha	30	1.0	Added 'h' at position 5
kihena	2	kihenna	30	1.0	Added 'n' at position 6
khangdon	2	khangdong	30	1.0	Added 'g' at position 9
ach	2	acah	29	1.0	Added 'a' at position 3
aje	2	ajep	29	1.0	Added 'p' at position 4
kihi	2	kihil	29	1.0	Added 'l' at position 5
cheta	2	chetan	29	1.0	Added 'n' at position 6
inkot	2	inkote	29	1.0	Added 'e' at position 6
natil	2	nathil	29	1.0	Added 'h' at position 4
phatin	2	phat'in	29	1.0	Added ''' at position 5
atitan	2	athitan	29	1.0	Added 'h' at position 3
apumpi	2	apumpia	29	1.0	Added 'a' at position 7
pat'in	2	phat'in	29	1.0	Added 'h' at position 2
khot	2	khoto	28	1.0	Added 'o' at position 5
neita	2	neitah	28	1.0	Added 'h' at position 6
thala	2	thalah	28	1.0	Added 'h' at position 6
akisa	2	akisan	28	1.0	Added 'n' at position 6
akicho	2	akichom	28	1.0	Added 'm' at position 7
phatcha	2	phatecha	28	1.0	Added 'e' at position 5
kihomdoh	2	kichomdoh	28	1.0	Added 'c' at position 3
kichodoh	2	kichomdoh	28	1.0	Added 'm' at position 6
gi	2	gih	27	1.0	Added 'h' at position 3
gi	2	gui	27	1.0	Added 'u' at position 2
age	2	agei	27	1.0	Added 'i' at position 4
kago	2	kagot	27	1.0	Added 't' at position 5
jacha	2	jachat	27	1.0	Added 't' at position 6
milun	2	milung	27	1.0	Added 'g' at position 6
akikho	2	akikhop	27	1.0	Added 'p' at position 7
thenin	2	thengin	27	1.0	Added 'g' at position 5
aoiyin	2	akoiyin	27	1.0	Added 'k' at position 2
akilung	2	akilhung	27	1.0	Added 'h' at position 5
joa	2	joha	26	1.0	Added 'h' at position 3
inla	2	inlam	26	1.0	Added 'm' at position 5
nain	2	na-in	26	1.0	Added '-' at position 3
pengdo	2	pengdoh	26	1.0	Added 'h' at position 7
dohuvin	2	doh-uvin	26	1.0	Added '-' at position 4
aseiuva	2	aseiyuva	26	1.0	Added 'y' at position 5
aen	2	aten	25	1.0	Added 't' at position 2
anape	2	anapeh	25	1.0	Added 'h' at position 6
akisa	2	akisah	25	1.0	Added 'h' at position 6
tumin	2	thumin	25	1.0	Added 'h' at position 2
kosunga	2	khosunga	25	1.0	Added 'h' at position 2
kahunguva	2	kachunguva	25	1.0	Added 'c' at position 3
khe	2	kheh	24	1.0	Added 'h' at position 4
kave	2	kaven	24	1.0	Added 'n' at position 5
neba	2	nebat	24	1.0	Added 't' at position 5
kaka	2	kakam	24	1.0	Added 'm' at position 5
machi	2	machir	24	1.0	Added 'r' at position 6
abotel	2	abottel	24	1.0	Added 't' at position 5
aon	2	avon	23	1.0	Added 'v' at position 2
aph	2	apah	23	1.0	Added 'a' at position 3
asi	2	asai	23	1.0	Added 'a' at position 3
heth	2	hetoh	23	1.0	Added 'o' at position 4
veta	2	vetda	23	1.0	Added 'd' at position 4
nahu	2	nahou	23	1.0	Added 'o' at position 4
vale	2	vahle	23	1.0	Added 'h' at position 3
kahop	2	kakhop	23	1.0	Added 'k' at position 3
najin	2	najinu	23	1.0	Added 'u' at position 6
akikho	2	akikhom	23	1.0	Added 'm' at position 7
engbola	2	engbolna	23	1.0	Added 'n' at position 7
na-angsung	2	na-angsunga	23	1.0	Added 'a' at position 11
aen	2	anen	22	1.0	Added 'n' at position 2
phi	2	phai	22	1.0	Added 'a' at position 3
joa	2	jona	22	1.0	Added 'n' at position 3
gule	2	gulse	22	1.0	Added 's' at position 4
kihe	2	kihen	22	1.0	Added 'n' at position 5
kava	2	kavah	22	1.0	Added 'h' at position 5
akiu	2	akinu	22	1.0	Added 'n' at position 4
nain	2	nadin	22	1.0	Added 'd' at position 3
kaha	2	kalha	22	1.0	Added 'l' at position 3
akito	2	akitoh	22	1.0	Added 'h' at position 6
